readgroup	fastq_pair1_file_path	fastq_pair2_file_path	sample_name	library_name	platform_unit	run_date	platform_name	sequencing_center
N1	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457115_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457115_2.fastq.gz	N1	N1	N1	2019	ILLUMINA	UNKNOW
N2	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457116_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457116_2.fastq.gz	N2	N2	N2	2019	ILLUMINA	UNKNOW
N3	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457117_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457117_2.fastq.gz	N3	N3	N3	2019	ILLUMINA	UNKNOW
N4	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457118_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457118_2.fastq.gz	N4	N4	N4	2019	ILLUMINA	UNKNOW
N5	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457119_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457119_2.fastq.gz	N5	N5	N5	2019	ILLUMINA	UNKNOW
C1	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457120_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457120_2.fastq.gz	C1	C1	C1	2019	ILLUMINA	UNKNOW
C2	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457121_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457121_2.fastq.gz	C2	C2	C2	2019	ILLUMINA	UNKNOW
C3	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457122_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457122_2.fastq.gz	C3	C3	C3	2019	ILLUMINA	UNKNOW
C4	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457123_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457123_2.fastq.gz	C4	C4	C4	2019	ILLUMINA	UNKNOW
C5	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457124_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457124_2.fastq.gz	C5	C5	C5	2019	ILLUMINA	UNKNOW
CL1	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457125_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457125_2.fastq.gz	CL1	CL1	CL1	2019	ILLUMINA	UNKNOW
CL2	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457126_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457126_2.fastq.gz	CL2	CL2	CL2	2019	ILLUMINA	UNKNOW
CL3	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457127_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457127_2.fastq.gz	CL3	CL3	CL3	2019	ILLUMINA	UNKNOW
CL4	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457128_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457128_2.fastq.gz	CL4	CL4	CL4	2019	ILLUMINA	UNKNOW
CL5	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457129_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457129_2.fastq.gz	CL5	CL5	CL5	2019	ILLUMINA	UNKNOW
L1	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457130_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457130_2.fastq.gz	L1	L1	L1	2019	ILLUMINA	UNKNOW
L2	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457131_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457131_2.fastq.gz	L2	L2	L2	2019	ILLUMINA	UNKNOW
L3	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457132_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457132_2.fastq.gz	L3	L3	L3	2019	ILLUMINA	UNKNOW
L4	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457133_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457133_2.fastq.gz	L4	L4	L4	2019	ILLUMINA	UNKNOW
L5	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457134_1.fastq.gz	/datapool/research/items/lip/data/MLPCUD_VALIDATE/SRR2089755/SRR4457134_2.fastq.gz	L5	L5	L5	2019	ILLUMINA	UNKNOW
